frozen_at,week,player,stat,projected,baseline,baseline_source,observed_2026,n_games_2026
2026-09-12 06:42 UTC,1,Caleb Williams,passing_yards,225.0,225.0,career (2023-2025),,0
2026-09-12 06:42 UTC,1,D'Andre Swift,rushing_yards,62.7,62.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Colston Loveland,receiving_yards,50.3,50.3,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Bryce Young,passing_yards,182.0,182.0,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Rico Dowdle,rushing_yards,49.7,49.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Tetairoa McMillan,receiving_yards,60.8,60.8,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Baker Mayfield,passing_yards,242.7,242.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Bucky Irving,rushing_yards,63.8,63.8,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Emeka Egbuka,receiving_yards,55.2,55.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Joe Burrow,passing_yards,258.2,258.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Chase Brown,rushing_yards,48.6,48.6,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Ja'Marr Chase,receiving_yards,88.5,88.5,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Tyler Shough,passing_yards,216.7,216.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Alvin Kamara,rushing_yards,55.7,55.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Chris Olave,receiving_yards,67.2,67.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Jared Goff,passing_yards,271.2,271.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Jahmyr Gibbs,rushing_yards,72.2,72.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Amon-Ra St. Brown,receiving_yards,85.0,85.0,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Josh Allen,passing_yards,237.2,237.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,James Cook,rushing_yards,75.9,75.9,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Khalil Shakir,receiving_yards,47.4,47.4,career (2023-2025),,0
2026-09-12 06:42 UTC,1,C.J. Stroud,passing_yards,236.8,236.8,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Woody Marks,rushing_yards,46.2,46.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Nico Collins,receiving_yards,81.0,81.0,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Lamar Jackson,passing_yards,225.0,225.0,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Derrick Henry,rushing_yards,93.5,93.5,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Zay Flowers,receiving_yards,63.2,63.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Daniel Jones,passing_yards,209.7,209.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Jonathan Taylor,rushing_yards,91.6,91.6,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Alec Pierce,receiving_yards,48.8,48.8,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Shedeur Sanders,passing_yards,175.0,175.0,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Quinshon Judkins,rushing_yards,59.1,59.1,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Harold Fannin Jr.,receiving_yards,45.7,45.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Trevor Lawrence,passing_yards,233.5,233.5,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Travis Etienne,rushing_yards,54.8,54.8,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Parker Washington,receiving_yards,37.8,37.8,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Michael Penix Jr.,passing_yards,196.9,196.9,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Bijan Robinson,rushing_yards,76.7,76.7,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Kyle Pitts,receiving_yards,43.1,43.1,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Aaron Rodgers,passing_yards,210.4,210.4,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Jaylen Warren,rushing_yards,45.9,45.9,career (2023-2025),,0
2026-09-12 06:42 UTC,1,DK Metcalf,receiving_yards,63.8,63.8,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Justin Fields,passing_yards,149.3,149.3,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Breece Hall,rushing_yards,59.9,59.9,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Garrett Wilson,receiving_yards,62.0,62.0,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Cam Ward,passing_yards,186.4,186.4,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Tony Pollard,rushing_yards,63.2,63.2,career (2023-2025),,0
2026-09-12 06:42 UTC,1,Chig Okonkwo,receiving_yards,31.3,31.3,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Caleb Williams,passing_yards,225.0,225.0,career (2023-2025),,0
2026-09-12 06:51 UTC,1,D'Andre Swift,rushing_yards,62.7,62.7,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Colston Loveland,receiving_yards,50.3,50.3,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Bryce Young,passing_yards,182.0,182.0,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Rico Dowdle,rushing_yards,49.7,49.7,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Tetairoa McMillan,receiving_yards,60.8,60.8,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Baker Mayfield,passing_yards,242.7,242.7,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Bucky Irving,rushing_yards,63.8,63.8,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Emeka Egbuka,receiving_yards,55.2,55.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Joe Burrow,passing_yards,258.2,258.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Chase Brown,rushing_yards,48.6,48.6,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Ja'Marr Chase,receiving_yards,88.5,88.5,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Tyler Shough,passing_yards,216.7,216.7,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Alvin Kamara,rushing_yards,55.7,55.7,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Chris Olave,receiving_yards,67.2,67.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Jared Goff,passing_yards,271.2,271.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Jahmyr Gibbs,rushing_yards,72.2,72.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Amon-Ra St. Brown,receiving_yards,85.0,85.0,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Josh Allen,passing_yards,237.2,237.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,James Cook,rushing_yards,75.9,75.9,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Khalil Shakir,receiving_yards,47.4,47.4,career (2023-2025),,0
2026-09-12 06:51 UTC,1,C.J. Stroud,passing_yards,236.8,236.8,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Woody Marks,rushing_yards,46.2,46.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Nico Collins,receiving_yards,81.0,81.0,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Lamar Jackson,passing_yards,225.0,225.0,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Derrick Henry,rushing_yards,93.5,93.5,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Zay Flowers,receiving_yards,63.2,63.2,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Daniel Jones,passing_yards,209.7,209.7,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Jonathan Taylor,rushing_yards,91.6,91.6,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Alec Pierce,receiving_yards,48.8,48.8,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Shedeur Sanders,passing_yards,175.0,175.0,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Quinshon Judkins,rushing_yards,59.1,59.1,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Harold Fannin Jr.,receiving_yards,45.7,45.7,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Trevor Lawrence,passing_yards,233.5,233.5,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Travis Etienne,rushing_yards,54.8,54.8,career (2023-2025),,0
2026-09-12 06:51 UTC,1,Parker Washington,receiving_yards,37.8,37.8,career (2023-2025),,0
